id,name,description,tactic,technique_attack_id,technique_full_name,windows_command,windows_executor,linux_command,linux_executor,darwin_command,darwin_executor,privilege,payloads,cleanup,target_dir,yml_filename,vars,has_hardcoded_abs_paths_hint
<GENERATE_UUIDv4>,Shortcut Modification,Ability for Shortcut Modification (ATT&CK T1023). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],persistence,T1023,Shortcut Modification,schtasks /Query /FO LIST /V,cmd,,,,,,,,stockpile/data/abilities/persistence/,T1023__shortcut-modification.yml,,no
<GENERATE_UUIDv4>,Custom Cryptographic Protocol,Ability for Custom Cryptographic Protocol (ATT&CK T1024). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],command-and-control,T1024,Custom Cryptographic Protocol,"powershell -NoProfile -Command ""Invoke-WebRequest -UseBasicParsing http://#{c2_host}:#{c2_port}/beacon?id=#{paw} -Method GET""",psh,,,,,,,,stockpile/data/abilities/command-and-control/,T1024__custom-cryptographic-protocol.yml,radmin_exe,no
<GENERATE_UUIDv4>,Multiband Communication,Ability for Multiband Communication (ATT&CK T1026). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],command-and-control,T1026,Multiband Communication,"powershell -NoProfile -Command ""Invoke-WebRequest -UseBasicParsing http://#{c2_host}:#{c2_port}/beacon?id=#{paw} -Method GET""",psh,,,,,,,,stockpile/data/abilities/command-and-control/,T1026__multiband-communication.yml,password,yes
<GENERATE_UUIDv4>,Windows Remote Management,Ability for Windows Remote Management (ATT&CK T1028). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],execution,T1028,Windows Remote Management,"powershell -NoProfile -Command ""Write-Output \""#{message}\""""",psh,,,,,,,,stockpile/data/abilities/execution/,T1028__windows-remote-management.yml,,no
<GENERATE_UUIDv4>,Modify Existing Service,Ability for Modify Existing Service (ATT&CK T1031). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],persistence,T1031,Modify Existing Service,schtasks /Query /FO LIST /V,cmd,,,,,,,,stockpile/data/abilities/persistence/,T1031__modify-existing-service.yml,atomics_dir,no
<GENERATE_UUIDv4>,Standard Cryptographic Protocol,Ability for Standard Cryptographic Protocol (ATT&CK T1032). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],command-and-control,T1032,Standard Cryptographic Protocol,"powershell -NoProfile -Command ""Invoke-WebRequest -UseBasicParsing http://#{c2_host}:#{c2_port}/beacon?id=#{paw} -Method GET""",psh,,,,,,,,stockpile/data/abilities/command-and-control/,T1032__standard-cryptographic-protocol.yml,,no
<GENERATE_UUIDv4>,Path Interception,Ability for Path Interception (ATT&CK T1034). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],persistence,T1034,Path Interception,schtasks /Query /FO LIST /V,cmd,,,,,,,,stockpile/data/abilities/persistence/,T1034__path-interception.yml,server_ip,no
<GENERATE_UUIDv4>,Service Execution,Ability for Service Execution (ATT&CK T1035). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],execution,T1035,Service Execution,"powershell -NoProfile -Command ""Write-Output \""#{message}\""""",psh,,,,,,,,stockpile/data/abilities/execution/,T1035__service-execution.yml,,no
<GENERATE_UUIDv4>,DLL Search Order Hijacking,Ability for DLL Search Order Hijacking (ATT&CK T1038). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],defense-evasion,T1038,DLL Search Order Hijacking,wevtutil el | findstr /I Security & attrib %USERPROFILE%\*.*,cmd,,,,,,,,stockpile/data/abilities/defense-evasion/,T1038__dll-search-order-hijacking.yml,user,yes
<GENERATE_UUIDv4>,Change Default File Association,Ability for Change Default File Association (ATT&CK T1042). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],persistence,T1042,Change Default File Association,schtasks /Query /FO LIST /V,cmd,,,,,,,,stockpile/data/abilities/persistence/,T1042__change-default-file-association.yml,,no
<GENERATE_UUIDv4>,Commonly Used Port,Ability for Commonly Used Port (ATT&CK T1043). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],command-and-control,T1043,Commonly Used Port,"powershell -NoProfile -Command ""Invoke-WebRequest -UseBasicParsing http://#{c2_host}:#{c2_port}/beacon?id=#{paw} -Method GET""",psh,,,,,,,,stockpile/data/abilities/command-and-control/,T1043__commonly-used-port.yml,,no
<GENERATE_UUIDv4>,File System Permissions Weakness,Ability for File System Permissions Weakness (ATT&CK T1044). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],persistence,T1044,File System Permissions Weakness,schtasks /Query /FO LIST /V,cmd,,,,,,,,stockpile/data/abilities/persistence/,T1044__file-system-permissions-weakness.yml,filename;jscname;jscpath,yes
<GENERATE_UUIDv4>,Software Packing,Ability for Software Packing (ATT&CK T1045). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],defense-evasion,T1045,Software Packing,wevtutil el | findstr /I Security & attrib %USERPROFILE%\*.*,cmd,,,,,,,,stockpile/data/abilities/defense-evasion/,T1045__software-packing.yml,plink_file;pscp_file;vib_file;vib_install;vm_host;vm_pass;vm_user,no
<GENERATE_UUIDv4>,New Service,Ability for New Service (ATT&CK T1050). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],persistence,T1050,New Service,schtasks /Query /FO LIST /V,cmd,,,,,,,,stockpile/data/abilities/persistence/,T1050__new-service.yml,destination_url;extension_id;key;plaintext,yes
<GENERATE_UUIDv4>,Shared Webroot,Ability for Shared Webroot (ATT&CK T1051). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],lateral-movement,T1051,Shared Webroot,net view && net use && qwinsta,cmd,,,,,,,,stockpile/data/abilities/lateral-movement/,T1051__shared-webroot.yml,group;mimikatz_path;outlook_folder;outlook_version;password;sam_account_name;sid_to_inject;url;username,yes
<GENERATE_UUIDv4>,Exfiltration Over Physical Medium,Ability for Exfiltration Over Physical Medium (ATT&CK T1052). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],exfiltration,T1052,Exfiltration Over Physical Medium,"type ""#{file_path}"" > NUL",cmd,,,,,,,,stockpile/data/abilities/exfiltration/,T1052__exfiltration-over-physical-medium.yml,executable,no
<GENERATE_UUIDv4>,Indicator Blocking,Ability for Indicator Blocking (ATT&CK T1054). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],defense-evasion,T1054,Indicator Blocking,wevtutil el | findstr /I Security & attrib %USERPROFILE%\*.*,cmd,,,,,,,,stockpile/data/abilities/defense-evasion/,T1054__indicator-blocking.yml,,no
<GENERATE_UUIDv4>,Service Registry Permissions Weakness,Ability for Service Registry Permissions Weakness (ATT&CK T1058). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],persistence,T1058,Service Registry Permissions Weakness,schtasks /Query /FO LIST /V,cmd,,,,,,,,stockpile/data/abilities/persistence/,T1058__service-registry-permissions-weakness.yml,,no
<GENERATE_UUIDv4>,Registry Run Keys / Startup Folder,Ability for Registry Run Keys / Startup Folder (ATT&CK T1060). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],persistence,T1060,Registry Run Keys / Startup Folder,schtasks /Query /FO LIST /V,cmd,,,,,,,,stockpile/data/abilities/persistence/,T1060__registry-run-keys-startup-folder.yml,,no
<GENERATE_UUIDv4>,Graphical User Interface,Ability for Graphical User Interface (ATT&CK T1061). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],execution,T1061,Graphical User Interface,"powershell -NoProfile -Command ""Write-Output \""#{message}\""""",psh,,,,,,,,stockpile/data/abilities/execution/,T1061__graphical-user-interface.yml,,no
<GENERATE_UUIDv4>,Hypervisor,Ability for Hypervisor (ATT&CK T1062). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],persistence,T1062,Hypervisor,schtasks /Query /FO LIST /V,cmd,,,,,,,,stockpile/data/abilities/persistence/,T1062__hypervisor.yml,,no
<GENERATE_UUIDv4>,Security Software Discovery,Ability for Security Software Discovery (ATT&CK T1063). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],discovery,T1063,Security Software Discovery,whoami & hostname & ipconfig /all & arp -a & netstat -ano & wmic process list brief,cmd,,,,,,,,stockpile/data/abilities/discovery/,T1063__security-software-discovery.yml,,no
<GENERATE_UUIDv4>,Scripting,Ability for Scripting (ATT&CK T1064). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],defense-evasion,T1064,Scripting,wevtutil el | findstr /I Security & attrib %USERPROFILE%\*.*,cmd,,,,,,,,stockpile/data/abilities/defense-evasion/,T1064__scripting.yml,,no
<GENERATE_UUIDv4>,Uncommonly Used Port,Ability for Uncommonly Used Port (ATT&CK T1065). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],command-and-control,T1065,Uncommonly Used Port,"powershell -NoProfile -Command ""Invoke-WebRequest -UseBasicParsing http://#{c2_host}:#{c2_port}/beacon?id=#{paw} -Method GET""",psh,,,,,,,,stockpile/data/abilities/command-and-control/,T1065__uncommonly-used-port.yml,,no
<GENERATE_UUIDv4>,Indicator Removal from Tools,Ability for Indicator Removal from Tools (ATT&CK T1066). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],defense-evasion,T1066,Indicator Removal from Tools,wevtutil el | findstr /I Security & attrib %USERPROFILE%\*.*,cmd,,,,,,,,stockpile/data/abilities/defense-evasion/,T1066__indicator-removal-from-tools.yml,,no
<GENERATE_UUIDv4>,Bootkit,Ability for Bootkit (ATT&CK T1067). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],persistence,T1067,Bootkit,schtasks /Query /FO LIST /V,cmd,,,,,,,,stockpile/data/abilities/persistence/,T1067__bootkit.yml,,no
<GENERATE_UUIDv4>,Exploitation for Privilege Escalation,Ability for Exploitation for Privilege Escalation (ATT&CK T1068). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],privilege-escalation,T1068,Exploitation for Privilege Escalation,whoami /priv,cmd,,,,,,,,stockpile/data/abilities/privilege-escalation/,T1068__exploitation-for-privilege-escalation.yml,working_dir,no
<GENERATE_UUIDv4>,DLL Side-Loading,Ability for DLL Side-Loading (ATT&CK T1073). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],defense-evasion,T1073,DLL Side-Loading,wevtutil el | findstr /I Security & attrib %USERPROFILE%\*.*,cmd,,,,,,,,stockpile/data/abilities/defense-evasion/,T1073__dll-side-loading.yml,,no
<GENERATE_UUIDv4>,Pass the Hash,Ability for Pass the Hash (ATT&CK T1075). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],lateral-movement,T1075,Pass the Hash,net view && net use && qwinsta,cmd,,,,,,,,stockpile/data/abilities/lateral-movement/,T1075__pass-the-hash.yml,,no
<GENERATE_UUIDv4>,Remote Desktop Protocol,Ability for Remote Desktop Protocol (ATT&CK T1076). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],lateral-movement,T1076,Remote Desktop Protocol,net view && net use && qwinsta,cmd,,,,,,,,stockpile/data/abilities/lateral-movement/,T1076__remote-desktop-protocol.yml,captureServerIP;efsApi;petitpotam_path;targetServerIP,no
<GENERATE_UUIDv4>,Windows Admin Shares,Ability for Windows Admin Shares (ATT&CK T1077). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],lateral-movement,T1077,Windows Admin Shares,net view && net use && qwinsta,cmd,,,,,,,,stockpile/data/abilities/lateral-movement/,T1077__windows-admin-shares.yml,,no
<GENERATE_UUIDv4>,Multilayer Encryption,Ability for Multilayer Encryption (ATT&CK T1079). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],command-and-control,T1079,Multilayer Encryption,"powershell -NoProfile -Command ""Invoke-WebRequest -UseBasicParsing http://#{c2_host}:#{c2_port}/beacon?id=#{paw} -Method GET""",psh,,,,,,,,stockpile/data/abilities/command-and-control/,T1079__multilayer-encryption.yml,,yes
<GENERATE_UUIDv4>,Taint Shared Content,Ability for Taint Shared Content (ATT&CK T1080). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],lateral-movement,T1080,Taint Shared Content,net view && net use && qwinsta,cmd,,,,,,,,stockpile/data/abilities/lateral-movement/,T1080__taint-shared-content.yml,payload_path;process,no
<GENERATE_UUIDv4>,Credentials in Files,Ability for Credentials in Files (ATT&CK T1081). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],credential-access,T1081,Credentials in Files,"cmdkey /list & reg query ""HKLM\SAM"" /reg:64 /v """" 2>nul",cmd,,,,,,,,stockpile/data/abilities/credential-access/,T1081__credentials-in-files.yml,,no
<GENERATE_UUIDv4>,Windows Management Instrumentation Event Subscription,Ability for Windows Management Instrumentation Event Subscription (ATT&CK T1084). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],persistence,T1084,Windows Management Instrumentation Event Subscription,schtasks /Query /FO LIST /V,cmd,,,,,,,,stockpile/data/abilities/persistence/,T1084__windows-management-instrumentation-event-subscription.yml,atomics_dir;attribute;mimikatz_path;object;psexec_path;value,yes
<GENERATE_UUIDv4>,Rundll32,Ability for Rundll32 (ATT&CK T1085). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],defense-evasion,T1085,Rundll32,wevtutil el | findstr /I Security & attrib %USERPROFILE%\*.*,cmd,,,,,,,,stockpile/data/abilities/defense-evasion/,T1085__rundll32.yml,,no
<GENERATE_UUIDv4>,PowerShell,Ability for PowerShell (ATT&CK T1086). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],execution,T1086,PowerShell,"powershell -NoProfile -Command ""Write-Output \""#{message}\""""",psh,,,,,,,,stockpile/data/abilities/execution/,T1086__powershell.yml,,no
<GENERATE_UUIDv4>,Bypass User Account Control,Ability for Bypass User Account Control (ATT&CK T1088). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],defense-evasion,T1088,Bypass User Account Control,wevtutil el | findstr /I Security & attrib %USERPROFILE%\*.*,cmd,,,,,,,,stockpile/data/abilities/defense-evasion/,T1088__bypass-user-account-control.yml,file_url;remote_payload,yes
<GENERATE_UUIDv4>,Disabling Security Tools,Ability for Disabling Security Tools (ATT&CK T1089). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],defense-evasion,T1089,Disabling Security Tools,wevtutil el | findstr /I Security & attrib %USERPROFILE%\*.*,cmd,,,,,,,,stockpile/data/abilities/defense-evasion/,T1089__disabling-security-tools.yml,docx_file;msxsl_exe;xmlfile;xslfile,yes
<GENERATE_UUIDv4>,Communication Through Removable Media,Ability for Communication Through Removable Media (ATT&CK T1092). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],command-and-control,T1092,Communication Through Removable Media,"powershell -NoProfile -Command ""Invoke-WebRequest -UseBasicParsing http://#{c2_host}:#{c2_port}/beacon?id=#{paw} -Method GET""",psh,,,,,,,,stockpile/data/abilities/command-and-control/,T1092__communication-through-removable-media.yml,,no
<GENERATE_UUIDv4>,Process Hollowing,Ability for Process Hollowing (ATT&CK T1093). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],defense-evasion,T1093,Process Hollowing,wevtutil el | findstr /I Security & attrib %USERPROFILE%\*.*,cmd,,,,,,,,stockpile/data/abilities/defense-evasion/,T1093__process-hollowing.yml,,no
<GENERATE_UUIDv4>,Custom Command and Control Protocol,Ability for Custom Command and Control Protocol (ATT&CK T1094). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],command-and-control,T1094,Custom Command and Control Protocol,"powershell -NoProfile -Command ""Invoke-WebRequest -UseBasicParsing http://#{c2_host}:#{c2_port}/beacon?id=#{paw} -Method GET""",psh,,,,,,,,stockpile/data/abilities/command-and-control/,T1094__custom-command-and-control-protocol.yml,,no
<GENERATE_UUIDv4>,NTFS File Attributes,Ability for NTFS File Attributes (ATT&CK T1096). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],defense-evasion,T1096,NTFS File Attributes,wevtutil el | findstr /I Security & attrib %USERPROFILE%\*.*,cmd,,,,,,,,stockpile/data/abilities/defense-evasion/,T1096__ntfs-file-attributes.yml,,no
<GENERATE_UUIDv4>,Pass the Ticket,Ability for Pass the Ticket (ATT&CK T1097). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],lateral-movement,T1097,Pass the Ticket,net view && net use && qwinsta,cmd,,,,,,,,stockpile/data/abilities/lateral-movement/,T1097__pass-the-ticket.yml,,no
<GENERATE_UUIDv4>,Timestomp,Ability for Timestomp (ATT&CK T1099). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],defense-evasion,T1099,Timestomp,wevtutil el | findstr /I Security & attrib %USERPROFILE%\*.*,cmd,,,,,,,,stockpile/data/abilities/defense-evasion/,T1099__timestomp.yml,new_password;new_user_password;user_account,yes
<GENERATE_UUIDv4>,Web Shell,Ability for Web Shell (ATT&CK T1100). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],persistence,T1100,Web Shell,schtasks /Query /FO LIST /V,cmd,,,,,,,,stockpile/data/abilities/persistence/,T1100__web-shell.yml,,no
<GENERATE_UUIDv4>,Security Support Provider,Ability for Security Support Provider (ATT&CK T1101). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],persistence,T1101,Security Support Provider,schtasks /Query /FO LIST /V,cmd,,,,,,,,stockpile/data/abilities/persistence/,T1101__security-support-provider.yml,output_file;registry_file;sqlite3_path,yes
<GENERATE_UUIDv4>,Web Service,Ability for Web Service (ATT&CK T1102). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],command-and-control,T1102,Web Service,"powershell -NoProfile -Command ""Invoke-WebRequest -UseBasicParsing http://#{c2_host}:#{c2_port}/beacon?id=#{paw} -Method GET""",psh,,,,,,,,stockpile/data/abilities/command-and-control/,T1102__web-service.yml,mimikatz_exe;path_of_iso;ticket,no
<GENERATE_UUIDv4>,AppInit DLLs,Ability for AppInit DLLs (ATT&CK T1103). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],persistence,T1103,AppInit DLLs,schtasks /Query /FO LIST /V,cmd,,,,,,,,stockpile/data/abilities/persistence/,T1103__appinit-dlls.yml,atomics_dir;dll_name;dll_path;file_path,yes
<GENERATE_UUIDv4>,Multi-Stage Channels,Ability for Multi-Stage Channels (ATT&CK T1104). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],command-and-control,T1104,Multi-Stage Channels,"powershell -NoProfile -Command ""Invoke-WebRequest -UseBasicParsing http://#{c2_host}:#{c2_port}/beacon?id=#{paw} -Method GET""",psh,,,,,,,,stockpile/data/abilities/command-and-control/,T1104__multi-stage-channels.yml,atomics_dir;domain_sid,yes
<GENERATE_UUIDv4>,File Deletion,Ability for File Deletion (ATT&CK T1107). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],defense-evasion,T1107,File Deletion,wevtutil el | findstr /I Security & attrib %USERPROFILE%\*.*,cmd,,,,,,,,stockpile/data/abilities/defense-evasion/,T1107__file-deletion.yml,doh_server;domain;port;query_type;query_volume;server_ip;server_port;subdomain,no
<GENERATE_UUIDv4>,Redundant Access,Ability for Redundant Access (ATT&CK T1108). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],defense-evasion,T1108,Redundant Access,wevtutil el | findstr /I Security & attrib %USERPROFILE%\*.*,cmd,,,,,,,,stockpile/data/abilities/defense-evasion/,T1108__redundant-access.yml,,no
<GENERATE_UUIDv4>,Component Firmware,Ability for Component Firmware (ATT&CK T1109). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],defense-evasion,T1109,Component Firmware,wevtutil el | findstr /I Security & attrib %USERPROFILE%\*.*,cmd,,,,,,,,stockpile/data/abilities/defense-evasion/,T1109__component-firmware.yml,,no
<GENERATE_UUIDv4>,Multi-Factor Authentication Interception,Ability for Multi-Factor Authentication Interception (ATT&CK T1111). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],credential-access,T1111,Multi-Factor Authentication Interception,"cmdkey /list & reg query ""HKLM\SAM"" /reg:64 /v """" 2>nul",cmd,,,,,,,,stockpile/data/abilities/credential-access/,T1111__multi-factor-authentication-interception.yml,,no
<GENERATE_UUIDv4>,Code Signing,Ability for Code Signing (ATT&CK T1116). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],defense-evasion,T1116,Code Signing,wevtutil el | findstr /I Security & attrib %USERPROFILE%\*.*,cmd,,,,,,,,stockpile/data/abilities/defense-evasion/,T1116__code-signing.yml,,no
<GENERATE_UUIDv4>,Regsvr32,Ability for Regsvr32 (ATT&CK T1117). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],defense-evasion,T1117,Regsvr32,wevtutil el | findstr /I Security & attrib %USERPROFILE%\*.*,cmd,,,,,,,,stockpile/data/abilities/defense-evasion/,T1117__regsvr32.yml,,no
<GENERATE_UUIDv4>,InstallUtil,Ability for InstallUtil (ATT&CK T1118). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],defense-evasion,T1118,InstallUtil,wevtutil el | findstr /I Security & attrib %USERPROFILE%\*.*,cmd,,,,,,,,stockpile/data/abilities/defense-evasion/,T1118__installutil.yml,,no
<GENERATE_UUIDv4>,Regsvcs/Regasm,Ability for Regsvcs/Regasm (ATT&CK T1121). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],defense-evasion,T1121,Regsvcs/Regasm,wevtutil el | findstr /I Security & attrib %USERPROFILE%\*.*,cmd,,,,,,,,stockpile/data/abilities/defense-evasion/,T1121__regsvcs-regasm.yml,,no
<GENERATE_UUIDv4>,Component Object Model Hijacking,Ability for Component Object Model Hijacking (ATT&CK T1122). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],defense-evasion,T1122,Component Object Model Hijacking,wevtutil el | findstr /I Security & attrib %USERPROFILE%\*.*,cmd,,,,,,,,stockpile/data/abilities/defense-evasion/,T1122__component-object-model-hijacking.yml,,yes
<GENERATE_UUIDv4>,Network Share Connection Removal,Ability for Network Share Connection Removal (ATT&CK T1126). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],defense-evasion,T1126,Network Share Connection Removal,wevtutil el | findstr /I Security & attrib %USERPROFILE%\*.*,cmd,,,,,,,,stockpile/data/abilities/defense-evasion/,T1126__network-share-connection-removal.yml,,yes
<GENERATE_UUIDv4>,Netsh Helper DLL,Ability for Netsh Helper DLL (ATT&CK T1128). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],persistence,T1128,Netsh Helper DLL,schtasks /Query /FO LIST /V,cmd,,,,,,,,stockpile/data/abilities/persistence/,T1128__netsh-helper-dll.yml,,no
